Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-FEB-2017,9068.85,9099.6,9055.1,9089.65,307213592.0,12251.82
07-FEB-2017,9097.55,9099.75,9025.9,9056.75,380597280.0,13190.6
08-FEB-2017,9068.15,9086.1,9005.6,9065.0,353860325.0,12952.15
09-FEB-2017,9088.0,9115.2,9015.0,9073.55,292629426.0,12092.71
10-FEB-2017,9106.9,9111.9,9060.1,9082.95,338588385.0,13197.59
13-FEB-2017,9110.45,9116.6,9038.3,9093.0,308003702.0,11290.37
14-FEB-2017,9109.3,9109.35,9051.65,9067.4,303232569.0,11642.85
15-FEB-2017,9054.75,9080.55,8975.5,8990.2,335882131.0,13542.32
16-FEB-2017,9004.65,9065.65,8979.95,9062.1,318663329.0,13524.65
17-FEB-2017,9162.05,9173.95,9087.7,9110.2,405813345.0,26693.99
20-FEB-2017,9109.8,9174.2,9098.15,9169.4,258222965.0,10446.57
21-FEB-2017,9182.3,9220.05,9162.35,9207.25,264827696.0,11628.11
22-FEB-2017,9231.1,9252.05,9192.35,9213.9,358914046.0,16619.32
23-FEB-2017,9241.25,9262.9,9207.1,9219.25,546609026.0,22128.03
27-FEB-2017,9222.75,9234.2,9172.85,9180.85,284260996.0,13605.09
28-FEB-2017,9186.1,9202.15,9156.15,9170.95,400884823.0,17067.09
01-MAR-2017,9197.65,9248.15,9191.65,9229.75,327659069.0,13145.76
02-MAR-2017,9270.0,9278.05,9148.05,9167.65,357501716.0,14167.05
03-MAR-2017,9150.55,9174.45,9123.55,9165.05,307300800.0,13993.87
06-MAR-2017,9185.95,9235.1,9185.45,9230.25,256610599.0,11301.03
07-MAR-2017,9245.55,9245.6,9201.7,9214.55,267280823.0,10808.07
08-MAR-2017,9220.15,9225.25,9151.6,9190.05,282745643.0,12770.82
09-MAR-2017,9181.8,9212.2,9167.5,9190.15,249820988.0,11050.0
10-MAR-2017,9216.8,9238.65,9164.2,9193.6,227213489.0,9438.71
14-MAR-2017,9350.75,9378.65,9315.45,9348.75,380171078.0,17710.63
15-MAR-2017,9351.65,9376.55,9341.75,9356.85,332097056.0,12622.84
16-MAR-2017,9403.05,9441.95,9401.85,9437.9,341051606.0,12899.74
17-MAR-2017,9488.75,9498.9,9427.15,9442.65,410729698.0,16994.58
20-MAR-2017,9452.55,9452.9,9401.1,9414.45,427946072.0,11909.77
21-MAR-2017,9420.65,9429.3,9362.0,9401.1,356562332.0,14541.86
22-MAR-2017,9325.45,9343.85,9292.55,9308.3,358224195.0,14006.7
23-MAR-2017,9333.75,9384.4,9333.75,9371.9,314092583.0,12621.0
24-MAR-2017,9389.3,9417.5,9377.55,9391.1,323347808.0,12001.88
27-MAR-2017,9379.5,9380.65,9312.25,9330.65,314788299.0,11767.1
